,artist,danceability,valence,tempo,liveness,song,popularity,speechiness,mood,loudness,duration_ms,energy,release_date,acousticness,mode,instrumentalness,key,year,artist_genre,artist_popularity,artist_followers,hit,words_count,words_average_size,1st_word,1st_occurence,1st_word_percentage,2nd_word,2nd_occurence,2nd_word_percentage,3rd_word,3rd_occurence,3rd_word_percentage,4th_word,4th_occurence,4th_word_percentage,5th_word,5th_occurence,5th_word_percentage,longest_word,longest_word_length,unique_word_percentage,Explicitness
35,Cage The Elephant,0.636,0.917,156.036,0.372,Ain't No Rest for the Wicked,75.0,0.106,Energetic,-7.075,175493.0,0.849,3/24/2009,0.0438,1.0,0.0,0.0,2009.0,modern rock,74.0,4072876.0,1,378,4.5,love,44,11.64021164021164,like,23,6.084656084656085,baby,20,5.291005291005291,i,18,4.761904761904762,song,18,4.761904761904762,repeatpeatpeatpeatpeatpeat,26,17.195767195767196,0
36,Alicia Keys,0.479,0.142,92.959,0.118,Empire State of Mind (Part II) Broken Down,75.0,0.0341,Sad,-7.784,216480.0,0.368,12/15/2009,0.739,1.0,4.1e-05,6.0,2009.0,r&b,79.0,12456284.0,1,397,4.682926829268292,doesnt,27,6.801007556675063,kill,17,4.282115869017632,what,14,3.526448362720403,makes,14,3.526448362720403,stronger,11,2.770780856423174,brokenhearted,13,13.602015113350124,0
37,Luis Enrique,0.653,0.733,95.223,0.18,Yo No Sé Mañana,75.0,0.042,Happy,-3.206,259853.0,0.827,5/19/2009,0.649,0.0,0.0,4.0,2009.0,salsa,64.0,1137374.0,1,466,4.202702702702703,beat,12,2.575107296137339,its,11,2.360515021459228,tonight,11,2.360515021459228,tonight,11,2.360515021459228,alright,10,2.145922746781116,galifianakis,12,14.377682403433475,0
38,Florence + The Machine,0.501,0.258,149.964,0.119,Dog Days Are Over,74.0,0.0938,Energetic,-5.264,252819.0,0.809,2009,0.0338,1.0,0.00602,7.0,2009.0,baroque pop,79.0,7050783.0,1,332,3.920634920634921,glad,13,3.9156626506024095,came,10,3.0120481927710845,me,10,3.0120481927710845,me,8,2.409638554216868,can,8,2.409638554216868,somewhere,9,0.0,0
39,The xx,0.617,0.152,100.363,0.128,Intro,74.0,0.027,Sad,-8.872,127920.0,0.778,8/16/2009,0.459,0.0,0.925,9.0,2009.0,,66.0,3827664.0,1,220,4.633333333333334,thousand,10,4.545454545454546,have,8,3.636363636363636,love,6,2.727272727272727,every,5,2.272727272727273,loved,5,2.272727272727273,thousand,8,15.0,0
40,Edward Sharpe & The Magnetic Zeros,0.541,0.116,111.676,0.124,Home,74.0,0.0336,Sad,-6.688,306320.0,0.591,7/12/2009,0.289,1.0,0.000431,2.0,2009.0,,63.0,1059323.0,1,391,4.6875,who,37,9.46291560102302,says,26,6.649616368286445,youre,24,6.138107416879795,not,19,4.859335038363171,nananana,16,4.092071611253197,presidential,12,15.856777493606138,0
41,Miley Cyrus,0.336,0.299,161.01,0.141,The Climb,74.0,0.0325,Energetic,-6.354,234520.0,0.602,1/1/2009,0.0635,1.0,0.0,4.0,2009.0,,83.0,25700084.0,1,241,4.625,para,35,14.522821576763484,paradise,17,7.053941908713693,oohoohooh,15,6.224066390041494,oohoohooh,8,3.319502074688797,ohoh,8,3.319502074688797,paraparadise,12,14.522821576763484,0
42,Aventura,0.825,0.944,124.005,0.314,Dile al Amor,74.0,0.0376,Happy,-9.71,229360.0,0.605,6/9/2009,0.0764,1.0,0.0,11.0,2009.0,bachata,80.0,9711558.0,1,379,4.509090909090909,with,15,3.9577836411609497,you,15,3.9577836411609497,mistletoe,13,3.430079155672823,under,12,3.16622691292876,with,11,2.9023746701846966,underneath,10,16.094986807387862,0
43,JAY-Z,0.632,0.441,86.844,0.263,Run This Town,74.0,0.29,Energetic,-1.802,267520.0,0.924,9/8/2009,0.281,1.0,0.0,1.0,2009.0,hip hop,84.0,9912852.0,1,568,4.016129032258065,oh,65,11.443661971830986,me,23,4.049295774647887,let,18,3.1690140845070425,girl,17,2.992957746478873,play,17,2.992957746478873,spotlight,9,17.253521126760564,0
44,Skillet,0.533,0.782,142.018,0.336,Hero,73.0,0.0995,Energetic,-2.543,186813.0,0.967,8/21/2009,0.00791,1.0,0.0,1.0,2009.0,christian rock,74.0,5528574.0,1,237,4.28125,dont,18,7.594936708860759,me,16,6.751054852320675,take,10,4.219409282700422,tonguetied,9,3.79746835443038,leave,9,3.79746835443038,tonguetied,10,14.767932489451477,0
45,OneRepublic,0.634,0.645,94.988,0.132,Good Life,73.0,0.052,Happy,-7.804,253307.0,0.69,1/1/2009,0.0771,1.0,0.0,6.0,2009.0,soft pop,84.0,18051378.0,1,205,3.809523809523809,oh,24,11.707317073170731,love,11,5.365853658536586,me,11,5.365853658536586,oh,9,4.390243902439025,got,9,4.390243902439025,waiting,7,11.21951219512195,0
46,Black Eyed Peas,0.798,0.4,130.0,0.324,Meet Me Halfway,73.0,0.0735,Energetic,-6.857,284373.0,0.629,1/1/2009,0.00474,0.0,2.17e-05,11.0,2009.0,,81.0,8828856.0,1,544,4.617021276595745,shake,42,7.720588235294118,me,19,3.492647058823529,girl,18,3.3088235294117645,country,13,2.389705882352941,me,12,2.2058823529411766,honkytonks,10,15.073529411764708,0
47,Pitbull,0.851,0.789,125.984,0.0746,Hotel Room Service,73.0,0.175,Happy,-8.385,237640.0,0.629,8/31/2009,0.00705,1.0,0.000372,1.0,2009.0,,86.0,11399839.0,1,506,4.631578947368421,me,18,3.5573122529644268,novocaine,15,2.964426877470356,feel,12,2.3715415019762847,cant,11,2.1739130434782608,love,10,1.976284584980237,oohhuhhuhhuhhuh,15,23.91304347826087,1
48,Aventura,0.812,0.701,125.941,0.132,El Malo,73.0,0.0533,Happy,-10.729,238720.0,0.506,6/9/2009,0.143,1.0,0.0,1.0,2009.0,bachata,80.0,9711558.0,1,580,4.047619047619048,that,20,3.4482758620689653,just,11,1.896551724137931,we,8,1.3793103448275863,yeah,6,1.0344827586206895,say,6,1.0344827586206895,something,9,21.379310344827587,1
49,Sean Kingston,0.839,0.888,122.973,0.331,Fire Burning,73.0,0.0329,Energetic,-2.513,239987.0,0.804,9/7/2009,0.0192,1.0,0.0,1.0,2009.0,,71.0,3552242.0,1,701,3.826530612244898,out,12,1.7118402282453635,see,11,1.5691868758915837,thing,11,1.5691868758915837,girl,11,1.5691868758915837,just,11,1.5691868758915837,overpriced,10,14.835948644793152,0
50,Michael Bublé,0.615,0.796,122.58,0.109,Haven't Met You Yet,72.0,0.0335,Happy,-4.808,244587.0,0.733,10/6/2009,0.152,1.0,0.0,8.0,2009.0,christmas,75.0,6734737.0,1,349,4.704918032786885,fly,9,2.5787965616045847,angels,7,2.005730659025788,her,6,1.7191977077363896,go,6,1.7191977077363896,outside,6,1.7191977077363896,motherland,10,16.332378223495702,0
51,Florence + The Machine,0.574,0.401,109.85,0.102,You've Got The Love,72.0,0.0327,Energetic,-4.697,168667.0,0.694,2009,0.00481,1.0,0.0,6.0,2009.0,baroque pop,79.0,7050783.0,1,294,5.0,yeah,25,8.503401360544217,all,17,5.782312925170068,been,15,5.1020408163265305,have,14,4.761904761904762,where,13,4.421768707482993,yeahyeahyeahyeahyeah,20,5.1020408163265305,0
52,Breaking Benjamin,0.533,0.55,107.984,0.38,I Will Not Bow,72.0,0.0653,Energetic,-3.708,216733.0,0.955,1/1/2009,0.000165,1.0,1.36e-05,8.0,2009.0,alternative metal,73.0,4917925.0,1,307,4.283018867924528,if,13,4.234527687296417,no,8,2.6058631921824102,baby,7,2.280130293159609,you,7,2.280130293159609,therell,6,1.954397394136808,troublesome,11,22.149837133550488,0
53,Mike Posner,0.837,0.769,129.001,0.233,Cooler Than Me (feat. Big Sean),72.0,0.0793,Happy,-4.065,227840.0,0.515,12/15/2009,0.103,0.0,0.0,7.0,2009.0,,71.0,1456290.0,1,404,4.602941176470588,me,22,5.445544554455446,baby,19,4.702970297029703,like,15,3.712871287128713,dancin,9,2.227722772277228,moonlight,9,2.227722772277228,oohoohoohooh,12,5.9405940594059405,0
54,La Roux,0.674,0.682,123.016,0.068,Bulletproof,72.0,0.0477,Energetic,-2.771,205733.0,0.882,2009,0.000441,0.0,6.47e-05,3.0,2009.0,,64.0,664556.0,1,328,4.714285714285714,woahohohoh,12,3.658536585365854,think,9,2.7439024390243905,about,9,2.7439024390243905,like,6,1.829268292682927,springsteen,6,1.829268292682927,woahohohohohohoh,16,30.182926829268293,0
55,Brooks & Dunn,0.656,0.862,130.448,0.304,Boot Scootin' Boogie,71.0,0.0435,Energetic,-4.296,198227.0,0.817,9/8/2009,0.22,0.0,0.0,11.0,2009.0,country,72.0,3119856.0,1,650,4.169491525423729,this,37,5.6923076923076925,born,33,5.076923076923077,way,31,4.769230769230769,was,29,4.461538461538462,track,16,2.4615384615384617,disabilities,12,14.615384615384617,0
56,Timbiriche,0.731,0.789,114.179,0.0851,Con Todos Menos Conmigo,71.0,0.0385,Sad,-13.478,184947.0,0.392,1/1/2009,0.564,1.0,0.0,2.0,2009.0,latin pop,63.0,1817404.0,1,126,4.125,sail,21,16.666666666666668,blame,5,3.968253968253968,with,5,3.968253968253968,add,4,3.1746031746031744,baby,4,3.1746031746031744,lalalalala,10,19.047619047619047,0
57,Drake,0.457,0.54,104.02,0.182,Forever,71.0,0.342,Energetic,-2.278,357707.0,0.906,5/15/2009,0.249,0.0,0.0,5.0,2009.0,rap,97.0,97003367.0,1,509,4.180327868852459,know,24,4.715127701375246,know,19,3.732809430255403,that,17,3.3398821218074657,like,8,1.5717092337917484,all,7,1.37524557956778,accomplishments,15,24.16502946954813,0
58,Alexander Rybak,0.576,0.674,107.996,0.233,Fairytale,71.0,0.0295,Happy,-5.359,182640.0,0.785,2009,0.62,0.0,4.26e-05,2.0,2009.0,,60.0,508493.0,1,338,4.08,love,13,3.8461538461538463,hes,9,2.662721893491124,he,8,2.366863905325444,with,8,2.366863905325444,mama,8,2.366863905325444,unpredictable,13,14.497041420118345,0
59,Justin Bieber,0.691,0.762,145.999,0.082,One Time,71.0,0.0372,Energetic,-2.528,215867.0,0.853,1/1/2009,0.0631,0.0,7.13e-05,1.0,2009.0,,90.0,81323370.0,1,676,4.015625,when,18,2.662721893491124,show,17,2.514792899408284,goes,16,2.366863905325444,up,14,2.0710059171597632,that,11,1.6272189349112427,unaffected,10,21.005917159763317,0
60,Jeremih,0.677,0.446,60.019,0.15,Birthday Sex,71.0,0.0439,Happy,-5.603,226507.0,0.523,1/1/2009,0.295,0.0,0.0,7.0,2009.0,,75.0,6957142.0,1,422,3.880952380952381,is,15,3.5545023696682465,got,14,3.3175355450236967,all,12,2.843601895734597,do,12,2.843601895734597,put,12,2.843601895734597,complicate,10,20.14218009478673,0
61,Madonna,0.753,0.767,113.029,0.234,4 Minutes (feat. Justin Timberlake & Timbaland),71.0,0.0652,Energetic,-4.922,189693.0,0.931,9/18/2009,0.00994,1.0,0.00696,2.0,2009.0,,80.0,8426190.0,1,386,4.0212765957446805,out,21,5.4404145077720205,all,11,2.849740932642487,ill,11,2.849740932642487,love,11,2.849740932642487,ive,10,2.5906735751295336,sheltered,9,10.621761658031089,0
62,Eminem,0.727,0.467,132.077,0.0726,Beautiful,71.0,0.0706,Happy,-4.472,392827.0,0.696,5/15/2009,0.251,0.0,0.0,5.0,2009.0,rap,91.0,98631229.0,1,444,4.0,eh,30,6.756756756756757,oh,25,5.63063063063063,keep,12,2.702702702702702,head,12,2.702702702702702,can,12,2.702702702702702,confidence,10,13.063063063063064,0
63,The Temper Trap,0.542,0.305,129.09,0.116,Sweet Disposition,71.0,0.0429,Energetic,-6.89,234360.0,0.813,8/10/2009,0.0765,1.0,0.252,2.0,2009.0,,69.0,740724.0,1,289,4.606060606060606,we,13,4.498269896193771,were,10,3.460207612456748,blue,10,3.460207612456748,barefoot,9,3.114186851211073,jean,9,3.114186851211073,barefoot,8,25.25951557093425,0
64,Iyaz,0.706,0.195,91.031,0.168,Replay,78.0,0.0708,Energetic,-6.323,182307.0,0.751,8/18/2009,0.173,1.0,0.0,9.0,2009.0,,67.0,1064713.0,1,919,4.063063063063063,with,9,0.9793253536452666,that,9,0.9793253536452666,like,9,0.9793253536452666,this,9,0.9793253536452666,life,9,0.9793253536452666,motherfuckin,12,32.86180631120784,0
65,Young Money,0.733,0.557,148.005,0.191,BedRock,74.0,0.295,Energetic,-6.163,288133.0,0.664,1/1/2009,0.102,1.0,0.0,8.0,2009.0,,62.0,3157603.0,1,356,3.688888888888889,not,15,4.213483146067416,over,11,3.0898876404494384,but,7,1.9662921348314608,doing,6,1.6853932584269662,would,6,1.6853932584269662,conversation,12,18.820224719101123,0
